Feature	Feature Systematic Name	Feature Type	Coordinates	Strand
TEL11L	TEL11L	telomere	1-807	-
YKL225W	YKL225W	ORF	451-798	+
PAU16	YKL224C	ORF	1810-2181	-
YKL223W	YKL223W	ORF	2389-2721	+
YKL222C	YKL222C	ORF	3503-5620	-
MCH2	YKL221W	ORF	6107-7528	+
ARS1102	ARS1102	ARS	7528-8309	0
FRE2	YKL220C	ORF	9091-11226	-
COS9	YKL219W	ORF	14485-15708	+
SRY1	YKL218C	ORF	17359-18339	-
JEN1	YKL217W	ORF	22234-24084	+
URA1	YKL216W	ORF	25215-26159	+
OXP1	YKL215C	ORF	26827-30687	-
YRA2	YKL214C	ORF	31082-31693	-
DOA1	YKL213C	ORF	31960-34107	-
SAC1	YKL212W	ORF	34543-36414	+
TRP3	YKL211C	ORF	36699-38153	-
SNR64	YNCK0001W	snoRNA gene	38811-38911	+
UBA1	YKL210W	ORF	39163-42237	+
STE6	YKL209C	ORF	42423-46295	-
TRT2	YNCK0002C	tRNA gene	46735-46806	-
CBT1	YKL208W	ORF	47157-47972	+
EMC3	YKL207W	ORF	48194-48955	+
ADD66	YKL206C	ORF	49006-49809	-
LOS1	YKL205W	ORF	50051-53353	+
EAP1	YKL204W	ORF	53704-55602	+
ARS1103	ARS1103	ARS	55671-55917	0
TOR2	YKL203C	ORF	55935-63359	-
YKL202W	YKL202W	ORF	63821-64402	+
MNN4	YKL201C	ORF	63930-67466	-
PTK1	YKL198C	ORF	68232-70220	-
PEX1	YKL197C	ORF	70734-73865	-
YKLWdelta1	YKLWdelta1	long terminal repeat	74236-74518	+
YNCK0003W	YNCK0003W	tRNA gene	74624-74697	+
YKT6	YKL196C	ORF	74932-75534	-
MIA40	YKL195W	ORF	75821-77032	+
MST1	YKL194C	ORF	77258-78646	-
SDS22	YKL193C	ORF	78866-79882	-
ACP1	YKL192C	ORF	80160-80537	-
DPH2	YKL191W	ORF	81035-82639	+
CNB1	YKL190W	ORF	82947-83550	+
YKLCdelta2	YKLCdelta2	long terminal repeat	83808-84115	-
YNCK0004W	YNCK0004W	tRNA gene	84208-84291	+
HYM1	YKL189W	ORF	84704-85903	+
PXA2	YKL188C	ORF	86225-88786	-
ARS1104	ARS1104	ARS	88789-89287	0
FAT3	YKL187C	ORF	89284-91536	-
MTR2	YKL186C	ORF	92744-93298	-
ASH1	YKL185W	ORF	94499-96265	+
SPE1	YKL184W	ORF	96757-98157	+
ARS1125	ARS1125	ARS	98364-98523	0
YKL183C-A	YKL183C-A	ORF	98395-98607	-
LOT5	YKL183W	ORF	98721-99641	+
FAS1	YKL182W	ORF	100671-106826	+
PRS1	YKL181W	ORF	107316-108599	+
RPL17A	YKL180W	ORF	109269-110129	+
COY1	YKL179C	ORF	110464-112503	-
STE3	YKL178C	ORF	113215-114627	-
YKL177W	YKL177W	ORF	114356-114694	+
LST4	YKL176C	ORF	115500-117986	-
ZRT3	YKL175W	ORF	118793-120304	+
TPO5	YKL174C	ORF	120380-122236	-
SNU114	YKL173W	ORF	122517-125543	+
EBP2	YKL172W	ORF	125759-127042	+
NNK1	YKL171W	ORF	127475-130261	+
MRPL38	YKL170W	ORF	130634-131050	+
YKL169C	YKL169C	ORF	130685-131068	-
KKQ8	YKL168C	ORF	131288-133462	-
MRP49	YKL167C	ORF	133721-134134	-
TPK3	YKL166C	ORF	134509-135705	-
YKL165C-A	YKL165C-A	ORF	135790-136023	-
MCD4	YKL165C	ORF	137932-140691	-
YNCK0005C	YNCK0005C	tRNA gene	141018-141089	-
PIR1	YKL164C	ORF	141794-142819	-
PIR3	YKL163W	ORF	144401-145378	+
YKL162C-A	YKL162C-A	ORF	145922-146074	-
YKL162C	YKL162C	ORF	147630-148838	-
KDX1	YKL161C	ORF	149386-150687	-
ARS1106	ARS1106	ARS	153020-153135	0
ELF1	YKL160W	ORF	153269-153706	+
RCN1	YKL159C	ORF	153816-154451	-
APE2	YKL157W	ORF	154991-158232	+
RPS27A	YKL156W	ORF	158613-159212	+
YKL156C-A	YKL156C-A	ORF	158975-159091	-
RSM22	YKL155C	ORF	159456-161342	-
SRP102	YKL154W	ORF	161601-162335	+
YNCK0006C	YNCK0006C	tRNA gene	162487-162558	-
YKLWdelta3	YKLWdelta3	long terminal repeat	162831-163169	+
YKL153W	YKL153W	ORF	163600-164109	+
GPM1	YKL152C	ORF	163642-164385	-
NNR2	YKL151C	ORF	164917-165930	-
MCR1	YKL150W	ORF	166544-167452	+
DBR1	YKL149C	ORF	167612-168829	-
SDH1	YKL148C	ORF	169207-171129	-
YKL147C	YKL147C	ORF	171551-172168	-
AVT3	YKL146W	ORF	171783-173861	+
RPT1	YKL145W	ORF	174213-175616	+
YKL145W-A	YKL145W-A	ORF	174958-175050	+
RPC25	YKL144C	ORF	175843-176481	-
LTV1	YKL143W	ORF	176781-178172	+
MRP8	YKL142W	ORF	178515-179174	+
SDH3	YKL141W	ORF	179667-180263	+
TGL1	YKL140W	ORF	180779-182425	+
CTK1	YKL139W	ORF	182958-184544	+
HSK3	YKL138C-A	ORF	184803-185012	-
MRPL31	YKL138C	ORF	185286-185681	-
CMC1	YKL137W	ORF	185957-186292	+
YKL136W	YKL136W	ORF	186416-186814	+
APL2	YKL135C	ORF	186460-188640	-
OCT1	YKL134C	ORF	189124-191442	-
